Plant Type,Moisture 1,Moisture 2,Humidity,Temperature,Motor State
9oclock,dry,moist,74.09,28.98,1
9oclock,dry,dry,41.52,29.44,1
9oclock,dry,dry,47.69,16.08,1
9oclock,moist,wet,88.75,22.61,0
moneyplant,dry,moist,69.32,28.74,0
9oclock,wet,wet,55.38,21.75,0
9oclock,moist,dry,84.84,16.26,1
moneyplant,wet,moist,38.83,15.48,0
9oclock,dry,wet,70.28,36.19,1
9oclock,dry,moist,60.42,29.32,1
moneyplant,dry,dry,59.25,34.72,1
9oclock,dry,moist,71.85,25.77,1
9oclock,moist,wet,37.08,21.43,0
9oclock,dry,moist,89.29,26.73,1
9oclock,moist,dry,78.3,38.09,1
9oclock,wet,dry,51.62,17.01,1
moneyplant,moist,moist,75.04,25.65,0
moneyplant,dry,dry,67.04,23.61,1
moneyplant,dry,wet,54.19,27.65,0
moneyplant,dry,wet,47.15,17.95,0
moneyplant,moist,moist,88.55,38.63,0
9oclock,wet,dry,62.35,39.75,1
9oclock,dry,dry,68.47,22.86,1
9oclock,wet,moist,74.78,20.35,0
moneyplant,wet,dry,45.0,22.15,0
9oclock,dry,moist,63.98,33.53,1
9oclock,dry,moist,32.89,35.43,1
moneyplant,wet,wet,66.36,23.51,0
moneyplant,dry,wet,80.12,32.34,0
moneyplant,moist,wet,73.69,16.92,0
moneyplant,moist,dry,41.25,20.98,0
moneyplant,wet,moist,46.93,38.09,0
moneyplant,moist,moist,47.75,22.05,0
9oclock,wet,moist,31.01,15.86,0
9oclock,wet,wet,62.28,27.11,0
9oclock,dry,wet,55.73,16.85,1
moneyplant,wet,dry,58.72,30.51,0
9oclock,dry,dry,63.41,29.52,1
9oclock,dry,wet,67.47,19.56,1
moneyplant,moist,wet,61.78,35.7,0
9oclock,dry,dry,88.22,26.78,1
moneyplant,wet,wet,51.38,37.92,0
moneyplant,wet,dry,38.97,37.0,0
moneyplant,dry,moist,58.47,31.89,0
moneyplant,moist,dry,37.0,21.55,0
9oclock,dry,wet,35.29,23.06,1
9oclock,wet,moist,77.01,17.2,0
9oclock,moist,wet,50.48,21.78,0
9oclock,wet,wet,35.96,26.69,0
9oclock,wet,moist,36.04,18.23,0
moneyplant,dry,moist,58.86,32.32,0
9oclock,moist,wet,82.95,17.09,0
9oclock,moist,dry,45.01,16.85,1
9oclock,wet,wet,70.72,36.97,0
moneyplant,dry,moist,87.31,33.46,0
moneyplant,dry,wet,41.54,15.61,0
9oclock,moist,moist,44.93,32.09,0
moneyplant,dry,wet,85.21,29.17,0
9oclock,dry,wet,76.71,38.21,1
9oclock,dry,moist,48.22,23.39,1
9oclock,dry,wet,80.64,22.32,1
9oclock,wet,dry,58.57,28.89,1
9oclock,wet,dry,32.18,25.46,1
9oclock,wet,wet,51.53,22.37,0
9oclock,dry,moist,87.79,32.25,1
moneyplant,wet,wet,36.8,38.74,0
9oclock,dry,dry,68.3,26.23,1
9oclock,dry,dry,59.4,35.95,1
9oclock,dry,wet,70.93,27.37,1
9oclock,dry,moist,77.71,31.47,1
9oclock,dry,dry,34.22,33.71,1
9oclock,wet,wet,81.25,27.24,0
9oclock,dry,dry,73.31,26.72,1
9oclock,dry,moist,68.89,16.94,1
moneyplant,dry,wet,71.47,28.05,0
moneyplant,moist,wet,34.3,27.05,0
9oclock,dry,moist,59.07,39.6,1
moneyplant,moist,moist,51.71,34.17,0
moneyplant,dry,moist,53.73,36.38,0
9oclock,wet,wet,55.07,28.97,0
moneyplant,wet,moist,56.11,23.8,0
moneyplant,wet,wet,49.05,23.94,0
9oclock,wet,wet,86.99,30.94,0
9oclock,moist,wet,30.65,36.2,0
9oclock,wet,moist,72.64,31.08,0
moneyplant,dry,moist,68.36,21.23,0
9oclock,moist,wet,41.36,18.59,0
moneyplant,wet,wet,42.83,35.79,0
9oclock,dry,wet,66.83,16.88,1
moneyplant,moist,moist,85.43,38.88,0
9oclock,moist,wet,31.05,30.86,0
moneyplant,wet,moist,59.36,39.79,0
moneyplant,dry,moist,73.5,30.79,0
9oclock,moist,moist,81.18,15.68,0
moneyplant,wet,wet,32.56,19.74,0
moneyplant,wet,wet,73.46,16.19,0
moneyplant,dry,dry,37.05,25.55,1
moneyplant,dry,moist,66.28,32.66,0
9oclock,dry,moist,81.63,20.21,1
9oclock,moist,wet,87.66,20.58,0
moneyplant,moist,dry,35.22,17.12,0
9oclock,wet,moist,47.33,23.56,0
moneyplant,moist,moist,60.41,16.42,0
moneyplant,wet,dry,59.86,16.95,0
9oclock,wet,wet,39.68,39.81,0
9oclock,wet,wet,34.95,23.73,0
moneyplant,moist,moist,57.39,38.7,0
moneyplant,dry,wet,47.83,20.72,0
moneyplant,moist,dry,46.35,33.01,0
moneyplant,dry,dry,57.73,22.26,1
moneyplant,dry,moist,63.98,27.56,0
moneyplant,wet,moist,45.9,30.62,0
moneyplant,dry,moist,54.32,29.28,0
9oclock,dry,wet,46.38,19.66,1
9oclock,dry,moist,70.81,38.47,1
9oclock,wet,moist,70.61,24.28,0
moneyplant,dry,moist,49.67,28.25,0
9oclock,wet,moist,70.33,23.52,0
moneyplant,dry,dry,65.99,38.56,1
moneyplant,dry,wet,64.45,29.61,0
moneyplant,moist,wet,53.62,32.9,0
9oclock,dry,wet,60.91,29.32,1
moneyplant,wet,dry,35.09,15.61,0
9oclock,wet,wet,35.54,38.32,0
9oclock,wet,dry,89.71,17.71,1
9oclock,wet,wet,85.74,18.13,0
moneyplant,wet,wet,51.96,33.96,0
moneyplant,dry,dry,84.81,19.84,1
moneyplant,wet,wet,52.36,26.77,0
moneyplant,moist,dry,47.11,21.79,0
9oclock,wet,moist,62.62,37.27,0
moneyplant,wet,wet,60.54,16.91,0
9oclock,moist,dry,34.05,37.44,1
9oclock,moist,wet,59.21,32.65,0
moneyplant,moist,moist,64.02,30.12,0
moneyplant,wet,dry,75.39,30.16,0
moneyplant,dry,moist,32.82,32.42,0
moneyplant,dry,dry,79.4,30.17,1
9oclock,wet,dry,48.81,26.0,1
9oclock,moist,dry,77.86,36.54,1
moneyplant,dry,moist,82.02,32.18,0
9oclock,moist,wet,32.6,31.02,0
9oclock,dry,wet,79.35,27.46,1
9oclock,wet,wet,54.61,32.93,0
9oclock,wet,moist,57.13,38.73,0
9oclock,dry,moist,49.22,25.04,1
moneyplant,wet,wet,65.85,19.69,0
moneyplant,moist,dry,51.52,25.28,0
moneyplant,moist,dry,70.05,23.51,0
9oclock,moist,dry,85.73,24.55,1
moneyplant,wet,moist,42.2,23.78,0
9oclock,moist,moist,74.31,31.37,0
9oclock,dry,moist,59.38,27.91,1
9oclock,wet,moist,47.0,16.89,0
9oclock,moist,wet,54.71,32.23,0
moneyplant,wet,dry,64.25,30.56,0
9oclock,dry,dry,56.89,23.28,1
9oclock,wet,wet,63.87,21.43,0
9oclock,moist,dry,72.71,19.8,1
9oclock,moist,moist,81.72,24.61,0
9oclock,wet,wet,44.33,32.67,0
moneyplant,moist,moist,85.38,18.4,0
moneyplant,dry,dry,79.46,32.22,1
9oclock,moist,dry,38.89,36.04,1
moneyplant,moist,dry,71.01,17.77,0
moneyplant,moist,moist,48.27,22.15,0
moneyplant,dry,moist,58.36,21.58,0
moneyplant,dry,wet,60.56,27.18,0
moneyplant,dry,moist,42.27,35.86,0
moneyplant,dry,wet,43.98,39.4,0
moneyplant,wet,wet,67.24,22.71,0
moneyplant,moist,dry,84.69,21.85,0
moneyplant,dry,wet,48.09,22.16,0
moneyplant,moist,dry,68.28,37.34,0
9oclock,wet,wet,77.65,24.62,0
moneyplant,dry,moist,73.84,21.01,0
moneyplant,moist,wet,31.53,37.08,0
moneyplant,dry,wet,34.84,22.8,0
9oclock,dry,moist,71.81,33.91,1
moneyplant,moist,dry,72.26,19.74,0
9oclock,dry,dry,64.12,15.08,1
9oclock,moist,dry,72.1,39.2,1
moneyplant,moist,dry,75.95,16.72,0
moneyplant,dry,wet,49.25,31.85,0
moneyplant,wet,moist,35.67,25.99,0
9oclock,moist,dry,45.01,18.07,1
moneyplant,moist,dry,34.78,32.63,0
9oclock,wet,moist,43.33,15.16,0
moneyplant,wet,dry,38.51,31.73,0
9oclock,dry,moist,87.08,31.69,1
9oclock,dry,moist,87.82,16.31,1
moneyplant,dry,moist,74.42,15.94,0
9oclock,dry,wet,51.74,38.16,1
9oclock,wet,wet,81.66,36.06,0
9oclock,dry,dry,33.02,18.45,1
9oclock,wet,dry,87.17,38.17,1
9oclock,wet,wet,56.11,29.27,0
moneyplant,wet,wet,43.65,33.45,0
moneyplant,dry,wet,34.76,26.57,0
moneyplant,wet,moist,57.32,18.66,0
9oclock,moist,dry,64.71,29.67,1
moneyplant,moist,moist,65.01,27.08,0
9oclock,wet,dry,88.24,32.86,1
9oclock,moist,wet,53.26,15.51,0
moneyplant,wet,dry,41.38,34.23,0
9oclock,wet,wet,41.05,27.86,0
moneyplant,dry,wet,36.95,17.23,0
9oclock,wet,wet,39.73,17.33,0
moneyplant,wet,wet,76.29,37.83,0
9oclock,dry,moist,39.79,22.26,1
moneyplant,dry,moist,64.18,17.17,0
moneyplant,moist,wet,77.53,31.92,0
9oclock,wet,dry,81.38,31.52,1
9oclock,wet,dry,62.72,37.44,1
moneyplant,dry,moist,72.91,30.38,0
moneyplant,dry,moist,54.53,17.86,0
moneyplant,dry,wet,46.94,17.17,0
9oclock,dry,wet,81.26,26.78,1
9oclock,wet,moist,52.09,21.87,0
9oclock,moist,wet,54.91,36.9,0
9oclock,dry,dry,32.72,35.71,1
moneyplant,dry,wet,31.81,29.95,0
9oclock,moist,dry,50.01,37.61,1
9oclock,dry,moist,50.36,15.64,1
moneyplant,wet,wet,74.33,30.87,0
9oclock,wet,wet,51.47,31.54,0
moneyplant,moist,dry,56.52,16.36,0
9oclock,dry,wet,62.66,32.13,1
moneyplant,wet,moist,68.13,32.2,0
9oclock,moist,moist,73.59,29.64,0
9oclock,wet,dry,38.16,31.5,1
9oclock,dry,dry,41.22,20.48,1
9oclock,moist,moist,33.07,15.14,0
moneyplant,moist,dry,48.61,22.63,0
moneyplant,moist,dry,69.52,35.73,0
9oclock,dry,moist,50.0,15.81,1
9oclock,moist,dry,33.2,24.71,1
moneyplant,dry,wet,83.41,21.29,0
9oclock,dry,moist,64.8,24.56,1
moneyplant,moist,wet,43.9,23.38,0
9oclock,moist,moist,68.31,27.02,0
9oclock,wet,wet,36.57,36.68,0
moneyplant,moist,dry,56.82,20.27,0
moneyplant,wet,moist,68.65,30.21,0
moneyplant,moist,moist,34.92,17.41,0
moneyplant,moist,moist,82.97,16.31,0
moneyplant,moist,wet,59.44,25.54,0
9oclock,dry,moist,60.41,31.26,1
moneyplant,moist,wet,68.06,26.04,0
moneyplant,moist,dry,33.57,25.45,0
9oclock,moist,moist,71.41,17.14,0
9oclock,moist,moist,72.28,22.21,0
9oclock,wet,moist,77.12,15.52,0
moneyplant,wet,moist,34.23,17.19,0
moneyplant,moist,wet,62.98,15.5,0
9oclock,dry,wet,70.48,20.28,1
moneyplant,dry,dry,70.14,16.96,1
moneyplant,moist,moist,86.25,37.34,0
9oclock,wet,moist,39.98,34.19,0
moneyplant,wet,moist,37.87,39.81,0
moneyplant,wet,wet,44.82,18.79,0
moneyplant,dry,dry,54.44,22.42,1
9oclock,dry,wet,73.16,31.36,1
9oclock,wet,moist,84.04,32.68,0
9oclock,moist,wet,72.13,37.28,0
9oclock,dry,dry,31.05,24.49,1
moneyplant,wet,wet,80.32,22.25,0
moneyplant,wet,moist,55.99,20.25,0
moneyplant,wet,moist,30.59,17.64,0
9oclock,moist,wet,49.88,38.12,0
moneyplant,dry,moist,35.36,16.0,0
9oclock,dry,wet,63.21,25.83,1
moneyplant,dry,moist,47.79,17.35,0
moneyplant,dry,moist,70.97,18.38,0
9oclock,dry,dry,68.69,34.72,1
moneyplant,wet,moist,80.7,19.65,0
9oclock,wet,wet,49.69,17.57,0
9oclock,wet,dry,78.88,22.69,1
moneyplant,wet,dry,40.72,38.73,0
9oclock,dry,dry,88.52,31.14,1
9oclock,wet,moist,75.75,15.59,0
moneyplant,wet,dry,42.68,34.92,0
9oclock,dry,moist,41.91,35.37,1
moneyplant,wet,wet,47.82,27.3,0
9oclock,dry,moist,70.15,39.63,1
9oclock,dry,moist,33.39,20.44,1
moneyplant,moist,dry,58.46,35.86,0
moneyplant,wet,dry,57.36,29.48,0
9oclock,moist,dry,47.26,18.71,1
9oclock,wet,moist,41.63,27.28,0
9oclock,dry,dry,49.68,24.79,1
moneyplant,moist,wet,30.74,17.75,0
moneyplant,wet,wet,39.75,22.76,0
9oclock,moist,wet,38.74,36.35,0
moneyplant,dry,wet,71.57,21.84,0
moneyplant,dry,moist,38.48,30.51,0
9oclock,wet,wet,60.4,18.6,0
9oclock,dry,moist,67.43,20.63,1
moneyplant,dry,moist,41.14,30.05,0
9oclock,dry,moist,55.63,18.5,1
moneyplant,dry,moist,50.76,33.1,0
moneyplant,wet,dry,59.7,27.84,0
9oclock,moist,wet,55.78,23.8,0
9oclock,dry,dry,61.05,17.29,1
9oclock,wet,dry,53.89,16.58,1
moneyplant,dry,wet,43.81,35.7,0
9oclock,wet,wet,48.49,37.15,0
9oclock,dry,moist,54.46,38.8,1
9oclock,moist,moist,69.99,26.93,0
9oclock,wet,dry,60.17,38.7,1
moneyplant,dry,wet,72.11,36.02,0
moneyplant,moist,wet,85.83,27.3,0
moneyplant,wet,moist,46.17,33.0,0
moneyplant,dry,moist,68.2,16.87,0
moneyplant,dry,moist,83.47,21.96,0
moneyplant,moist,moist,40.39,31.41,0
9oclock,moist,moist,57.13,33.13,0
9oclock,wet,wet,31.24,24.13,0
moneyplant,wet,wet,75.45,23.49,0
moneyplant,dry,dry,68.68,36.15,1
moneyplant,moist,wet,63.92,22.02,0
moneyplant,wet,dry,38.63,26.35,0
moneyplant,dry,moist,60.14,38.12,0
moneyplant,dry,moist,77.54,18.63,0
moneyplant,moist,moist,65.49,28.98,0
moneyplant,wet,moist,67.18,21.33,0
moneyplant,wet,wet,60.86,26.58,0
moneyplant,wet,wet,48.4,16.54,0
9oclock,wet,moist,36.32,39.75,0
moneyplant,moist,moist,57.68,15.48,0
9oclock,dry,wet,85.1,21.89,1
9oclock,wet,wet,83.0,24.5,0
moneyplant,wet,wet,69.81,29.16,0
9oclock,dry,wet,65.54,17.38,1
9oclock,dry,dry,87.11,35.03,1
moneyplant,moist,wet,59.79,26.51,0
9oclock,moist,wet,37.0,29.01,0
9oclock,moist,wet,31.74,24.04,0
moneyplant,dry,moist,89.78,25.88,0
9oclock,wet,wet,76.38,21.66,0
9oclock,wet,dry,56.97,21.61,1
9oclock,moist,dry,49.45,36.86,1
moneyplant,wet,dry,45.66,20.75,0
9oclock,wet,wet,30.69,32.6,0
moneyplant,dry,dry,73.69,34.12,1
moneyplant,wet,moist,85.82,39.15,0
9oclock,wet,dry,87.64,20.87,1
9oclock,dry,moist,50.83,31.46,1
moneyplant,dry,wet,79.9,31.67,0
9oclock,dry,dry,62.54,24.34,1
moneyplant,wet,dry,70.14,19.08,0
moneyplant,dry,dry,50.81,30.43,1
moneyplant,moist,moist,65.31,30.24,0
9oclock,wet,wet,34.76,34.15,0
moneyplant,wet,dry,38.11,38.16,0
moneyplant,moist,wet,47.89,35.08,0
moneyplant,moist,dry,89.51,31.87,0
9oclock,moist,moist,62.61,18.39,0
9oclock,dry,dry,49.14,33.64,1
moneyplant,moist,dry,38.12,21.5,0
moneyplant,moist,dry,35.89,16.82,0
moneyplant,moist,wet,47.46,25.04,0
moneyplant,wet,moist,51.0,29.7,0
