Plant Type,Moisture 1,Moisture 2,Humidity,Temperature,Motor State
moneyplant,wet,wet,76.15,25.86,0
9oclock,wet,wet,55.18,33.58,0
moneyplant,wet,wet,30.88,15.79,0
moneyplant,dry,wet,42.99,23.45,0
9oclock,wet,moist,57.06,15.39,0
9oclock,dry,wet,59.77,27.07,1
moneyplant,dry,dry,48.73,16.15,1
9oclock,dry,wet,74.34,22.43,1
9oclock,moist,dry,79.65,20.8,1
moneyplant,wet,moist,83.44,18.89,0
moneyplant,wet,moist,73.7,15.8,0
moneyplant,wet,dry,51.32,24.15,0
moneyplant,dry,dry,48.66,39.79,1
9oclock,dry,wet,31.94,35.09,1
9oclock,wet,moist,53.25,22.52,0
moneyplant,moist,dry,59.29,36.89,0
9oclock,wet,wet,56.06,38.55,0
9oclock,dry,wet,81.02,33.41,1
9oclock,dry,moist,57.99,38.0,1
moneyplant,moist,moist,43.66,31.64,0
9oclock,dry,moist,50.24,38.81,1
moneyplant,moist,dry,73.62,22.1,0
moneyplant,dry,wet,46.07,36.73,0
9oclock,moist,moist,44.6,20.12,0
moneyplant,dry,dry,76.15,37.03,1
moneyplant,wet,dry,82.59,17.47,0
moneyplant,wet,wet,79.02,38.92,0
moneyplant,wet,wet,38.65,21.62,0
moneyplant,moist,moist,45.66,36.97,0
9oclock,wet,moist,38.0,23.79,0
moneyplant,dry,moist,50.56,25.91,0
9oclock,wet,wet,65.26,25.53,0
moneyplant,wet,wet,55.34,35.63,0
9oclock,moist,wet,38.72,24.59,0
9oclock,wet,moist,58.69,30.85,0
9oclock,moist,dry,62.45,29.65,1
moneyplant,dry,moist,40.07,34.92,0
9oclock,wet,wet,74.12,25.49,0
9oclock,wet,wet,34.57,37.04,0
moneyplant,dry,moist,61.34,16.07,0
9oclock,moist,wet,73.53,37.08,0
moneyplant,wet,dry,44.03,27.41,0
9oclock,wet,wet,67.53,39.05,0
moneyplant,wet,dry,33.1,24.64,0
9oclock,dry,moist,85.88,33.25,1
9oclock,dry,wet,86.81,31.89,1
moneyplant,dry,moist,46.4,29.75,0
9oclock,wet,wet,69.3,37.89,0
moneyplant,wet,dry,87.98,38.33,0
moneyplant,dry,moist,50.78,39.85,0
9oclock,wet,moist,82.24,20.96,0
moneyplant,wet,wet,60.62,30.05,0
9oclock,dry,moist,40.86,34.84,1
9oclock,dry,wet,48.0,19.22,1
9oclock,wet,wet,39.35,16.16,0
moneyplant,moist,wet,86.14,34.7,0
9oclock,dry,dry,31.91,22.46,1
moneyplant,moist,dry,82.97,18.08,0
moneyplant,wet,wet,51.69,18.45,0
9oclock,wet,dry,41.07,32.46,1
9oclock,dry,wet,47.75,33.86,1
9oclock,dry,wet,67.23,18.68,1
moneyplant,dry,wet,62.42,37.17,0
moneyplant,moist,moist,39.28,20.01,0
moneyplant,wet,moist,32.41,38.53,0
moneyplant,wet,wet,64.69,37.98,0
9oclock,wet,moist,61.17,23.89,0
moneyplant,wet,wet,45.39,24.86,0
9oclock,wet,moist,47.39,27.28,0
moneyplant,dry,wet,87.35,39.75,0
moneyplant,moist,wet,89.28,15.67,0
9oclock,wet,dry,60.09,22.03,1
9oclock,moist,moist,40.0,27.47,0
9oclock,wet,dry,68.93,27.35,1
moneyplant,moist,dry,49.87,37.16,0
moneyplant,wet,wet,87.68,23.14,0
moneyplant,wet,wet,70.37,21.3,0
moneyplant,dry,wet,33.82,33.67,0
moneyplant,wet,dry,31.81,16.15,0
moneyplant,dry,dry,62.45,34.58,1
moneyplant,wet,dry,34.64,19.59,0
9oclock,moist,moist,46.71,37.93,0
moneyplant,wet,dry,38.6,22.43,0
9oclock,dry,wet,83.01,37.51,1
moneyplant,wet,wet,88.9,18.78,0
moneyplant,moist,dry,50.99,28.58,0
moneyplant,wet,dry,77.12,31.16,0
moneyplant,moist,moist,81.62,28.14,0
9oclock,dry,wet,36.42,37.52,1
9oclock,wet,wet,64.52,37.87,0
moneyplant,dry,wet,43.91,37.74,0
moneyplant,dry,moist,56.15,16.24,0
9oclock,dry,dry,89.05,33.61,1
9oclock,dry,wet,57.35,17.35,1
9oclock,wet,dry,73.37,29.06,1
9oclock,dry,dry,46.65,33.8,1
moneyplant,moist,wet,56.01,16.25,0
moneyplant,moist,moist,38.66,18.39,0
moneyplant,moist,moist,42.19,39.21,0
9oclock,moist,dry,79.28,24.61,1
9oclock,moist,moist,54.62,16.7,0
moneyplant,dry,wet,78.85,32.11,0
moneyplant,dry,dry,86.33,19.49,1
9oclock,wet,moist,71.2,39.28,0
9oclock,moist,moist,72.6,28.11,0
9oclock,dry,wet,49.75,37.12,1
9oclock,dry,wet,77.89,21.23,1
moneyplant,dry,dry,51.14,36.03,1
moneyplant,dry,moist,33.82,27.22,0
9oclock,dry,dry,48.09,29.74,1
9oclock,wet,wet,79.78,31.49,0
9oclock,dry,dry,89.97,33.88,1
9oclock,moist,dry,71.87,18.89,1
9oclock,wet,moist,38.33,24.45,0
9oclock,dry,moist,53.72,38.33,1
moneyplant,wet,moist,40.05,25.3,0
9oclock,moist,moist,47.87,34.46,0
moneyplant,wet,moist,56.75,15.05,0
9oclock,dry,moist,84.69,29.47,1
moneyplant,moist,wet,32.51,19.67,0
9oclock,dry,dry,37.64,33.86,1
9oclock,wet,moist,79.92,19.36,0
9oclock,wet,dry,76.94,19.03,1
9oclock,wet,moist,67.6,38.2,0
moneyplant,moist,moist,56.75,29.82,0
moneyplant,moist,dry,75.32,37.18,0
9oclock,moist,dry,63.22,31.29,1
9oclock,moist,moist,54.42,35.21,0
moneyplant,wet,moist,88.63,34.0,0
9oclock,wet,moist,83.65,34.69,0
9oclock,wet,wet,75.72,31.0,0
moneyplant,wet,dry,34.59,35.79,0
moneyplant,moist,wet,74.82,18.71,0
moneyplant,dry,moist,69.02,19.12,0
9oclock,wet,dry,44.08,33.18,1
9oclock,moist,wet,56.65,34.64,0
moneyplant,moist,moist,48.23,16.06,0
moneyplant,wet,moist,59.79,19.49,0
9oclock,moist,moist,59.51,37.44,0
moneyplant,wet,dry,43.03,27.18,0
moneyplant,moist,moist,37.92,34.81,0
9oclock,wet,dry,72.11,30.25,1
moneyplant,dry,dry,68.77,25.25,1
moneyplant,moist,dry,41.97,15.32,0
moneyplant,dry,wet,49.69,37.9,0
9oclock,moist,moist,55.4,31.21,0
9oclock,moist,dry,34.8,17.77,1
9oclock,moist,moist,57.86,31.91,0
9oclock,moist,moist,82.44,32.59,0
moneyplant,dry,dry,58.7,19.79,1
moneyplant,dry,dry,47.98,25.01,1
moneyplant,wet,wet,62.94,19.92,0
9oclock,moist,dry,55.35,36.05,1
moneyplant,dry,moist,45.26,16.67,0
moneyplant,wet,wet,84.49,28.11,0
9oclock,wet,dry,59.03,37.24,1
9oclock,dry,moist,74.21,28.6,1
9oclock,moist,wet,40.81,23.04,0
9oclock,moist,dry,42.53,16.9,1
moneyplant,dry,wet,51.2,37.11,0
9oclock,wet,dry,52.31,22.73,1
moneyplant,dry,moist,53.92,16.93,0
moneyplant,dry,moist,37.03,32.93,0
moneyplant,dry,dry,65.34,38.46,1
9oclock,moist,moist,37.55,25.86,0
9oclock,wet,moist,66.0,22.35,0
moneyplant,moist,dry,68.53,20.88,0
9oclock,wet,wet,61.27,16.75,0
moneyplant,dry,dry,46.27,15.21,1
9oclock,wet,wet,70.15,33.85,0
9oclock,moist,dry,40.49,38.46,1
moneyplant,moist,wet,53.69,31.14,0
9oclock,dry,moist,37.75,30.68,1
moneyplant,wet,wet,81.27,26.49,0
moneyplant,wet,wet,67.78,37.75,0
moneyplant,wet,moist,69.91,23.59,0
9oclock,dry,moist,64.62,39.81,1
moneyplant,moist,wet,42.26,24.62,0
9oclock,moist,dry,79.76,24.81,1
moneyplant,dry,moist,41.73,20.82,0
moneyplant,dry,moist,82.66,22.33,0
9oclock,wet,dry,67.96,36.55,1
9oclock,dry,dry,59.13,36.51,1
9oclock,dry,wet,57.76,32.9,1
moneyplant,dry,moist,86.21,35.4,0
moneyplant,moist,moist,85.31,34.64,0
moneyplant,wet,moist,30.76,33.44,0
9oclock,wet,dry,44.06,24.37,1
moneyplant,moist,moist,89.66,28.67,0
moneyplant,moist,moist,53.13,18.38,0
9oclock,moist,dry,69.58,24.02,1
9oclock,dry,dry,50.29,29.22,1
9oclock,moist,dry,85.2,28.55,1
9oclock,dry,moist,86.44,22.6,1
9oclock,wet,dry,53.47,19.74,1
9oclock,wet,dry,84.0,31.69,1
moneyplant,dry,wet,56.1,27.24,0
moneyplant,moist,wet,74.18,39.31,0
moneyplant,dry,dry,45.6,38.91,1
9oclock,dry,moist,58.74,18.73,1
moneyplant,wet,moist,56.12,34.08,0
moneyplant,wet,moist,87.08,15.76,0
moneyplant,dry,wet,39.97,18.95,0
moneyplant,moist,dry,51.13,23.57,0
9oclock,wet,moist,39.37,15.48,0
moneyplant,moist,wet,53.9,34.18,0
9oclock,moist,dry,66.24,36.09,1
9oclock,moist,wet,79.19,34.31,0
9oclock,moist,wet,73.8,21.66,0
moneyplant,moist,moist,85.65,23.09,0
moneyplant,moist,wet,47.57,33.41,0
moneyplant,dry,dry,79.25,28.25,1
9oclock,wet,moist,56.35,19.82,0
moneyplant,wet,wet,79.33,16.81,0
9oclock,wet,moist,54.58,20.0,0
moneyplant,moist,dry,85.24,26.73,0
moneyplant,moist,wet,31.13,21.2,0
9oclock,moist,moist,37.25,39.39,0
9oclock,dry,dry,55.7,30.69,1
9oclock,dry,dry,65.6,39.45,1
moneyplant,wet,moist,34.19,27.96,0
9oclock,moist,dry,66.39,15.55,1
moneyplant,wet,moist,67.76,15.03,0
9oclock,dry,moist,77.64,23.96,1
moneyplant,wet,moist,72.17,19.71,0
moneyplant,dry,wet,58.58,17.06,0
moneyplant,moist,wet,58.02,27.5,0
9oclock,moist,moist,67.25,33.34,0
9oclock,dry,moist,43.31,32.03,1
9oclock,dry,moist,75.13,29.48,1
moneyplant,wet,wet,42.17,29.66,0
9oclock,dry,moist,32.65,18.45,1
moneyplant,moist,wet,72.94,25.29,0
moneyplant,dry,dry,88.7,21.89,1
9oclock,wet,moist,82.44,38.76,0
9oclock,dry,moist,86.08,26.42,1
9oclock,moist,moist,32.55,22.08,0
moneyplant,wet,dry,86.02,39.47,0
9oclock,dry,wet,58.69,31.11,1
9oclock,moist,moist,47.24,20.81,0
moneyplant,moist,moist,66.59,17.54,0
9oclock,moist,wet,52.33,30.77,0
9oclock,wet,dry,69.05,24.98,1
9oclock,moist,dry,79.81,28.19,1
9oclock,moist,wet,77.48,23.6,0
moneyplant,dry,dry,73.77,27.29,1
moneyplant,moist,wet,55.42,29.81,0
9oclock,moist,dry,78.48,16.53,1
9oclock,dry,moist,71.46,22.83,1
moneyplant,moist,wet,65.95,32.3,0
moneyplant,moist,dry,35.86,34.83,0
moneyplant,wet,wet,39.66,26.38,0
moneyplant,dry,wet,67.26,35.23,0
moneyplant,wet,dry,38.87,20.46,0
moneyplant,moist,wet,35.24,38.34,0
9oclock,moist,wet,71.96,29.75,0
moneyplant,dry,moist,46.16,20.17,0
9oclock,dry,wet,61.36,27.96,1
moneyplant,moist,wet,43.27,28.94,0
9oclock,dry,wet,44.07,31.87,1
9oclock,moist,wet,69.18,19.24,0
moneyplant,moist,dry,81.35,15.98,0
9oclock,dry,dry,61.21,15.67,1
moneyplant,moist,moist,81.91,34.36,0
9oclock,moist,moist,60.18,20.16,0
9oclock,dry,wet,40.53,18.79,1
moneyplant,dry,dry,41.64,34.09,1
moneyplant,dry,moist,81.53,20.99,0
9oclock,dry,wet,41.0,28.43,1
9oclock,moist,moist,64.04,27.2,0
moneyplant,wet,moist,70.76,19.69,0
moneyplant,moist,wet,58.11,18.98,0
moneyplant,moist,moist,30.29,24.87,0
9oclock,moist,moist,74.27,15.06,0
9oclock,dry,wet,35.74,38.85,1
9oclock,dry,dry,56.34,39.82,1
9oclock,dry,wet,69.0,38.11,1
9oclock,moist,dry,70.03,26.09,1
moneyplant,wet,dry,51.84,32.94,0
9oclock,dry,wet,49.79,24.44,1
9oclock,wet,moist,39.34,15.69,0
moneyplant,wet,dry,50.93,31.23,0
9oclock,dry,wet,86.14,20.14,1
moneyplant,dry,wet,73.94,39.04,0
9oclock,moist,wet,39.49,29.75,0
moneyplant,moist,moist,47.26,28.81,0
9oclock,moist,wet,57.53,38.61,0
moneyplant,dry,moist,59.6,30.86,0
9oclock,dry,dry,79.1,30.12,1
moneyplant,wet,wet,47.76,25.91,0
moneyplant,moist,wet,65.89,16.97,0
moneyplant,wet,moist,47.98,17.0,0
moneyplant,wet,wet,31.15,36.49,0
9oclock,wet,moist,51.33,28.92,0
9oclock,moist,dry,63.64,28.47,1
9oclock,moist,moist,67.77,34.67,0
9oclock,wet,dry,79.25,36.81,1
9oclock,dry,wet,78.16,29.64,1
9oclock,moist,wet,30.87,33.46,0
moneyplant,moist,dry,77.0,34.49,0
9oclock,wet,wet,60.45,29.7,0
moneyplant,moist,moist,53.73,17.85,0
moneyplant,moist,wet,82.62,24.78,0
moneyplant,moist,dry,43.49,24.38,0
moneyplant,dry,dry,64.57,32.76,1
9oclock,wet,moist,70.5,31.88,0
moneyplant,dry,moist,49.29,25.93,0
9oclock,wet,dry,30.86,32.77,1
moneyplant,moist,dry,51.28,18.57,0
moneyplant,moist,moist,76.39,33.51,0
9oclock,dry,dry,72.89,38.92,1
moneyplant,dry,moist,59.94,38.5,0
9oclock,dry,wet,38.18,20.78,1
9oclock,dry,wet,52.65,24.7,1
moneyplant,dry,wet,58.12,24.79,0
moneyplant,moist,moist,79.47,19.29,0
9oclock,moist,moist,39.73,28.71,0
moneyplant,dry,wet,73.17,18.31,0
9oclock,moist,dry,72.8,32.04,1
moneyplant,wet,moist,31.79,38.16,0
moneyplant,wet,dry,49.02,15.4,0
9oclock,dry,moist,69.63,24.17,1
9oclock,moist,moist,47.08,33.76,0
9oclock,moist,moist,39.85,20.98,0
9oclock,dry,moist,31.04,37.0,1
9oclock,moist,dry,64.9,20.47,1
moneyplant,wet,moist,76.11,37.54,0
9oclock,dry,dry,31.43,31.22,1
moneyplant,dry,wet,79.25,26.03,0
moneyplant,dry,moist,77.24,36.87,0
9oclock,wet,wet,67.59,26.82,0
9oclock,moist,moist,60.99,21.28,0
9oclock,dry,dry,58.68,31.54,1
moneyplant,wet,wet,57.13,39.64,0
moneyplant,moist,dry,51.63,31.57,0
moneyplant,dry,wet,76.56,32.65,0
moneyplant,moist,dry,83.06,27.6,0
9oclock,dry,dry,51.18,30.02,1
moneyplant,wet,wet,81.84,24.56,0
9oclock,wet,dry,33.61,35.45,1
9oclock,wet,dry,48.74,26.83,1
9oclock,wet,dry,40.01,37.55,1
moneyplant,dry,wet,84.75,27.29,0
9oclock,moist,moist,59.66,38.31,0
9oclock,dry,wet,62.67,15.98,1
9oclock,wet,dry,56.35,33.44,1
moneyplant,dry,moist,44.27,29.16,0
moneyplant,wet,moist,47.79,30.6,0
9oclock,moist,wet,51.38,17.6,0
9oclock,wet,dry,81.01,39.2,1
9oclock,moist,moist,55.47,38.37,0
moneyplant,moist,dry,33.33,20.83,0
